loc_index,grid_id,x,y,z
0,0-0-0,0.0,0.0,0.5
1,0-0-1,0.0,0.0,1.0
2,0-0-2,0.0,0.0,1.5
3,0-0-3,0.0,0.0,2.0
4,0-0-4,0.0,0.0,2.5
5,0-0-5,0.0,0.0,3.0
6,0-0-6,0.0,0.0,3.5
7,0-0-7,0.0,0.0,4.0
8,0-0-8,0.0,0.0,4.5
9,0-0-9,0.0,0.0,5.0
10,1-0-0,1.0,0.0,0.5
11,1-0-1,1.0,0.0,1.0
12,1-0-2,1.0,0.0,1.5
13,1-0-3,1.0,0.0,2.0
14,1-0-4,1.0,0.0,2.5
15,1-0-5,1.0,0.0,3.0
16,1-0-6,1.0,0.0,3.5
17,1-0-7,1.0,0.0,4.0
18,1-0-8,1.0,0.0,4.5
19,1-0-9,1.0,0.0,5.0
20,2-0-0,2.0,0.0,0.5
21,2-0-1,2.0,0.0,1.0
22,2-0-2,2.0,0.0,1.5
23,2-0-3,2.0,0.0,2.0
24,2-0-4,2.0,0.0,2.5
25,2-0-5,2.0,0.0,3.0
26,2-0-6,2.0,0.0,3.5
27,2-0-7,2.0,0.0,4.0
28,2-0-8,2.0,0.0,4.5
29,2-0-9,2.0,0.0,5.0
30,3-0-0,3.0,0.0,0.5
31,3-0-1,3.0,0.0,1.0
32,3-0-2,3.0,0.0,1.5
33,3-0-3,3.0,0.0,2.0
34,3-0-4,3.0,0.0,2.5
35,3-0-5,3.0,0.0,3.0
36,3-0-6,3.0,0.0,3.5
37,3-0-7,3.0,0.0,4.0
38,3-0-8,3.0,0.0,4.5
39,3-0-9,3.0,0.0,5.0
40,4-0-0,4.0,0.0,0.5
41,4-0-1,4.0,0.0,1.0
42,4-0-2,4.0,0.0,1.5
43,4-0-3,4.0,0.0,2.0
44,4-0-4,4.0,0.0,2.5
45,4-0-5,4.0,0.0,3.0
46,4-0-6,4.0,0.0,3.5
47,4-0-7,4.0,0.0,4.0
48,4-0-8,4.0,0.0,4.5
49,4-0-9,4.0,0.0,5.0
50,5-0-0,5.0,0.0,0.5
51,5-0-1,5.0,0.0,1.0
52,5-0-2,5.0,0.0,1.5
53,5-0-3,5.0,0.0,2.0
54,5-0-4,5.0,0.0,2.5
55,5-0-5,5.0,0.0,3.0
56,5-0-6,5.0,0.0,3.5
57,5-0-7,5.0,0.0,4.0
58,5-0-8,5.0,0.0,4.5
59,5-0-9,5.0,0.0,5.0
60,6-0-0,6.0,0.0,0.5
61,6-0-1,6.0,0.0,1.0
62,6-0-2,6.0,0.0,1.5
63,6-0-3,6.0,0.0,2.0
64,6-0-4,6.0,0.0,2.5
65,6-0-5,6.0,0.0,3.0
66,6-0-6,6.0,0.0,3.5
67,6-0-7,6.0,0.0,4.0
68,6-0-8,6.0,0.0,4.5
69,6-0-9,6.0,0.0,5.0
70,7-0-0,7.0,0.0,0.5
71,7-0-1,7.0,0.0,1.0
72,7-0-2,7.0,0.0,1.5
73,7-0-3,7.0,0.0,2.0
74,7-0-4,7.0,0.0,2.5
75,7-0-5,7.0,0.0,3.0
76,7-0-6,7.0,0.0,3.5
77,7-0-7,7.0,0.0,4.0
78,7-0-8,7.0,0.0,4.5
79,7-0-9,7.0,0.0,5.0
80,8-0-0,8.0,0.0,0.5
81,8-0-1,8.0,0.0,1.0
82,8-0-2,8.0,0.0,1.5
83,8-0-3,8.0,0.0,2.0
84,8-0-4,8.0,0.0,2.5
85,8-0-5,8.0,0.0,3.0
86,8-0-6,8.0,0.0,3.5
87,8-0-7,8.0,0.0,4.0
88,8-0-8,8.0,0.0,4.5
89,8-0-9,8.0,0.0,5.0
90,9-0-0,9.0,0.0,0.5
91,9-0-1,9.0,0.0,1.0
92,9-0-2,9.0,0.0,1.5
93,9-0-3,9.0,0.0,2.0
94,9-0-4,9.0,0.0,2.5
95,9-0-5,9.0,0.0,3.0
96,9-0-6,9.0,0.0,3.5
97,9-0-7,9.0,0.0,4.0
98,9-0-8,9.0,0.0,4.5
99,9-0-9,9.0,0.0,5.0
100,10-0-0,10.0,0.0,0.5
101,10-0-1,10.0,0.0,1.0
102,10-0-2,10.0,0.0,1.5
103,10-0-3,10.0,0.0,2.0
104,10-0-4,10.0,0.0,2.5
